label,l_eb_l,r_eb_l,u_ll_l,u_rl_l,l_l,l_h
anger,125.08774427492853,107.30583938422731,89.4986290992941,83.31545155702646,58.463663928973865,30.479501308256342
anger,127.73669850877454,96.06310933842684,91.68224136694019,84.70139741709221,54.405882034941776,31.240998703626616
anger,116.59790696631205,101.28998867305049,93.71518097221643,84.64192938077491,57.271284253105414,30.479501308256342
anger,104.5620557745535,87.74043754731515,78.56355964487356,78.14883815799769,47.29693436154187,28.30194339616981
anger,76.36121051202436,74.34539595977955,64.64317262237384,57.716018834325276,44.64302857109943,21.93171219946131
anger,80.60161636714582,68.10341695002435,66.70988175141193,71.58946695843586,45.880278987817846,27.018512172212592
anger,82.92428261168082,74.70089775130674,58.79674917865735,58.43441205055637,38.07886552931954,23.430749027719962
anger,87.73266434601119,71.98046797835576,58.5865588114837,55.47678736699882,44.01136216933077,29.732137494637012
anger,97.00481132358554,87.97137314756776,75.79943423840425,62.64306044943742,56.753854494650845,32.526911934581186
anger,83.17158015232093,72.56997102804337,65.11690815281959,70.94218676916168,52.20153254455275,30.479501308256342
anger,76.6291878305536,55.999347405782956,68.19410945676135,67.37065185820285,42.15447781671598,29.0
anger,89.90627784937153,76.71715791242008,71.70085535191444,62.730851615608834,42.20189569201838,22.67156809750927
anger,93.3411211724709,91.42333818654825,66.18674657950501,63.830662386138314,50.00999900019995,31.240998703626616
anger,87.66216409985383,67.6540038157695,59.73382854233291,69.08514581789268,47.75981574503821,33.28663395418648
anger,127.0176061743886,99.48874727848096,79.6937673805483,79.69692054380107,59.481089431852205,41.617304093369626
anger,100.75709081766507,91.14564293357407,83.79059935137902,85.18184734922005,73.76313442364011,46.61544808322666
anger,119.76607225017233,91.76940048130496,74.3527119333672,74.54657340538832,50.28916384272063,29.0
anger,92.13542249659514,85.1991147161115,69.5670358742416,67.38286772534627,47.53945729601885,31.064449134018133
anger,109.90634842523508,91.3939499272439,83.09822307912468,79.50632174697442,56.302753041036986,37.44329045369811
anger,116.69267328794734,91.42263476093538,88.10523637570927,91.40229002629562,51.54609587543949,30.479501308256342
anger,134.5238352041407,120.90345824427821,73.82413623733272,67.27754954148429,59.135437767890075,39.11521443121589
anger,114.19204951250029,105.76494612417295,82.34713137067777,77.76628644531459,46.32493928760188,23.853720883753127
anger,100.14781591075104,86.22838048003953,75.05381980499517,63.76381102744688,53.600373133029585,29.732137494637012
anger,145.7458671951723,114.27125362321847,88.76882050362195,98.69495260268565,70.26378868236469,54.91812087098393
anger,140.94182110716778,115.54565057466348,75.79620709629944,86.87896857028632,59.50630218724736,44.721359549995796
anger,156.133750396248,124.83381453717897,98.01030721248759,93.33473329801566,65.79513659838392,51.31276644267
anger,127.38511764476468,113.88085306566012,75.96669266682481,77.09839540617114,50.0,29.732137494637012
anger,126.23108571701712,106.71928081296703,70.61538702656176,70.38858678084925,55.08175741568164,32.526911934581186
anger,122.78806004411882,102.3774158865847,69.20353254163707,70.12224071190107,54.56189146281496,40.24922359499622
anger,120.52178536380467,105.40417926103302,84.067694295769,70.37657686720549,72.61542535852834,47.80167361086848
anger,137.3910829358804,103.81827150300433,77.15569128610423,78.57813984837252,52.55473337388365,37.589892258425
anger,93.15186117586616,74.94719671966058,80.92944401501562,83.25899171237043,53.85164807134504,37.8021163428716
anger,117.69529339469466,104.40277474844117,67.14702901831666,75.58656158976808,55.47071299343465,39.11521443121589
anger,97.55980835131646,91.71516241150863,83.37655309965925,68.77124996972603,63.89053137985315,42.638011210655684
anger,104.5398466483298,97.36628251250613,74.58628269959354,78.51943925878102,50.0,30.4138126514911
anger,106.24905508723518,107.50888376512913,71.55815987040273,76.98073830791401,45.5411901469428,31.064449134018133
anger,101.24624273085561,88.64897517151032,76.51546686868775,69.86098203048432,45.60701700396552,27.202941017470888
anger,141.7229095844914,114.47822538047741,78.68915898111902,88.34119409414458,58.180752831155424,45.27692569068709
anger,93.81482549847452,98.50682745491191,80.13015572935025,71.66472389900194,59.09314681077663,38.18376618407357
anger,113.16297802933765,94.39191792360091,78.58090755791896,83.83784863137726,58.872744118140105,46.95742752749558
anger,143.67289741734248,119.77451291060476,85.71030878403218,97.30552748919868,60.41522986797286,44.10215414239989
anger,121.22081589562106,90.18460294602313,68.62090439317589,79.24937810560445,68.47627326307996,47.01063709417264
anger,127.3965851175443,102.05265935097324,87.79436206611761,106.49245366074462,77.38862965578342,61.29437168288782
anger,116.90210552508023,100.15019720168367,80.56805672883063,75.90934148461653,59.464274989274024,44.94441010848846
anger,146.5015541160745,137.59086275007087,78.64511634844779,81.56795466916905,53.75872022286245,39.408120990476064
anger,109.19130348985414,96.70120501982352,70.07733314186999,66.1593198952488,56.293871780150276,32.55764119219941
anger,148.2821071868886,119.23928428515873,87.86587195924048,106.11556904620994,65.21502894272147,62.96824596572466
anger,95.12755954966906,80.92721097573629,71.61292067738086,66.51759213532064,47.43416490252569,31.144823004794873
anger,88.72663077497859,79.18106936270937,88.75809746674267,77.35166788928821,80.77747210701756,57.8013840664737
anger,125.72099599473586,102.87224680088349,80.30298503943858,70.6134728420366,43.68065933568311,26.248809496813376
anger,118.32789973508156,93.41605423109672,82.4621709897942,75.98194775440155,56.293871780150276,31.622776601683793
